views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,ad_revenue_usd,category_Entertainment,category_Gaming,category_Lifestyle,category_Music,category_Tech,device_Mobile,device_TV,device_Tablet,country_CA,country_DE,country_IN,country_UK,country_US
9936.0,1221.0,320.0,26497.21418351538,2.862136598361809,228086.0,203.178236677856,True,False,False,False,False,False,True,False,False,False,True,False,False
10017.0,642.0,346.0,15209.747444641736,23.73806859600372,736015.0,140.88050802739548,False,True,False,False,False,False,False,True,True,False,False,False,False
10097.0,1979.0,187.0,57332.65849825838,26.200633602012736,240534.0,360.1340075441641,False,False,False,False,False,False,True,False,True,False,False,False,False
10034.0,1191.0,242.0,31334.517770614395,11.770340066666662,434482.0,224.6382614997087,True,False,False,False,False,True,False,False,False,False,False,True,False
9889.0,1858.0,477.0,15665.666433937964,6.6358538634662505,42030.0,165.51438759860426,False,False,False,False,False,True,False,False,True,False,False,False,False
10002.0,843.0,159.0,35131.75622783969,12.491826162893895,541268.0,234.9659962741677,False,False,False,True,False,False,True,False,True,False,False,False,False
9989.0,1944.0,160.0,35380.070907739406,6.520902680751886,193736.0,255.00941180833848,False,False,False,True,False,True,False,False,False,False,True,False,False
10051.0,784.0,458.0,19263.21257971425,24.58612089884761,823662.0,164.53345487622306,True,False,False,False,False,False,False,True,False,False,False,False,True
9934.0,292.0,88.0,37531.99033702389,5.946665704433521,58437.0,336.40985615926195,True,False,False,False,False,False,False,False,False,False,False,True,False
10051.0,1103.0,61.0,40011.57994450514,24.45472328947879,103872.0,246.71188251761748,False,False,False,False,True,False,False,True,False,True,False,False,False
9907.0,1103.0,184.0,54008.29683210189,8.397639439590337,226781.0,330.2197625661647,False,True,False,False,False,True,False,False,False,False,False,False,True
10052.0,631.0,406.0,40853.45501270876,20.33414851619312,237553.0,262.8032263228001,False,False,False,False,True,True,False,False,False,False,False,True,False
9990.0,1225.0,236.0,33689.049205904186,9.152332026317804,499149.0,235.9907725301537,False,False,False,False,False,False,False,True,False,False,False,True,False
10106.0,1450.0,416.0,39394.25251716211,26.37459200422889,830553.0,270.45344036769865,False,False,False,True,False,False,True,False,False,False,False,False,True
9999.0,589.0,488.0,22777.41396482164,15.629542330829876,258755.0,177.99442912467404,False,False,False,False,False,False,False,True,False,False,False,False,True
9979.0,689.0,439.0,19196.04535590523,12.041984898658436,948421.0,161.88228614381467,False,False,False,False,True,True,False,False,False,False,False,True,False
10024.0,539.0,459.0,38020.72121761303,14.5459407463855,294403.0,248.63200403192369,False,False,False,False,True,True,False,False,False,False,False,False,False
10070.0,351.0,444.0,21044.395884326328,19.69320562323585,33467.0,165.3471581101835,False,False,False,True,False,True,False,False,False,False,True,False,False
10026.0,1057.0,339.0,34851.09965067264,13.672055451668154,753781.0,240.5396970631208,False,False,False,True,False,False,False,True,False,False,False,False,False
10094.0,303.0,160.0,47507.54331407403,22.688333429818112,981054.0,284.5274593240006,False,False,False,False,True,True,False,False,True,False,False,False,False
10092.0,221.0,330.0,60498.5780532936,16.93223026934307,173160.0,347.27622232764634,False,False,True,False,False,False,False,True,False,True,False,False,False
9943.0,1345.0,60.0,17886.978218835273,20.03945711612804,338260.0,160.283964855396,True,False,False,False,False,False,True,False,False,False,True,False,False
10073.0,489.0,245.0,26111.17552465211,3.6648908969066825,504852.0,188.201874192532,False,False,True,False,False,False,True,False,False,False,False,False,True
9804.0,1010.0,338.0,37531.99033702389,11.098399717576278,156446.0,279.1120966659737,False,False,True,False,False,False,False,True,False,False,False,True,False
9774.0,1856.0,69.0,53348.927903338576,13.644730911276898,364772.0,335.5274586676025,False,False,False,False,True,True,False,False,False,True,False,False,False
9794.0,835.0,391.0,30449.258201699828,23.10423728031032,10301.0,215.656397425536,False,False,False,False,False,False,False,False,True,False,False,False,False
9960.0,618.0,383.0,39763.618157009536,8.99453638079272,618908.0,256.56705074098124,False,False,False,True,False,False,True,False,False,True,False,False,False
9942.0,1027.0,102.0,48958.79642973693,6.459105763698017,634747.0,302.02424080337124,False,False,False,False,False,False,False,False,True,False,False,False,False
10125.0,1174.0,65.0,41767.73518443972,27.151940498109955,271933.0,270.965836667215,False,False,False,True,False,False,False,False,True,False,False,False,False
10053.0,1628.0,413.0,19785.20539486253,29.894391093308307,553639.0,180.7375238946771,True,False,False,False,False,False,False,False,False,True,False,False,False
9795.0,1828.0,129.0,27373.47183596564,22.90109697316303,720229.0,213.72465778090125,False,False,False,False,True,False,False,True,True,False,False,False,False
